run_id,model,session_id,persona,n_trials,alpha,beta,nll,converged
110,deepseek,11,disengaged,100,0.000322525622852632,15.0497728936704,138.527630061568,True
111,deepseek,12,disengaged,100,0.352102308355119,0.165030007495166,136.118636524394,True
112,deepseek,13,disengaged,100,0.0001,0.0001,138.629436478782,True
113,deepseek,14,disengaged,100,0.618601483590552,0.0655403832361075,136.323192763312,True
114,deepseek,15,disengaged,100,0.106606824850433,0.172776665869218,137.928582977051,True
115,deepseek,16,disengaged,100,0.0001,0.0001,138.629436447277,True
116,deepseek,17,disengaged,100,0.181283209605268,0.156702521933115,136.830936781355,True
117,deepseek,18,disengaged,100,0.0537264870625336,0.483666075753018,133.742379868374,True
118,deepseek,19,disengaged,100,0.0522296217082704,0.636973378546759,135.096469411926,True
119,deepseek,20,disengaged,100,0.0966550486481194,0.435591407366656,134.382228387332,True
120,deepseek,21,disengaged,100,0.279677893077067,0.0945315192199898,137.46809375745,True
121,deepseek,22,disengaged,100,0.310789685714034,0.0865381476178816,137.987196508836,True
122,deepseek,23,disengaged,100,0.813390542075416,0.0624430031481972,138.049799345991,True
123,deepseek,24,disengaged,100,0.257021166022257,0.0783396730410885,137.56359469348,True
124,deepseek,25,disengaged,100,0.0353781357916289,0.47187558102758,136.221416410714,True
125,deepseek,26,disengaged,100,0.015860121664138,0.462660768186462,138.206358413756,True
126,deepseek,27,disengaged,100,0.117790218134316,0.0762092480832783,138.367259065169,True
127,deepseek,28,disengaged,100,0.389888457767221,0.0703042416094632,137.650837872583,True
128,deepseek,29,disengaged,100,0.291165011988899,0.27243813197695,129.853586027249,True
129,deepseek,30,disengaged,100,0.00014503634146403,49.6151682996834,137.988313682406,True
130,deepseek,31,disengaged,100,0.951087949879517,0.0678762860026761,133.548583972968,True
131,deepseek,32,disengaged,100,0.332019188306226,0.170796961677029,137.492517187878,True
132,deepseek,33,disengaged,100,0.0940322117764203,0.273800542384595,136.307938043261,True
133,deepseek,34,disengaged,100,0.0369037694865626,0.382207847094898,138.074832991129,True
134,deepseek,35,disengaged,100,0.0001,0.0001,138.629436858804,True
135,deepseek,36,disengaged,100,0.0001,0.0001,138.629437182334,True
136,deepseek,37,disengaged,100,0.0850538442417009,0.381696046565103,134.558524990506,True
137,deepseek,38,disengaged,100,0.130253702915899,0.277159027926357,136.8965755472,True
138,deepseek,39,disengaged,100,0.000235144370921954,25.4268510820914,138.387903665713,True
139,deepseek,40,disengaged,100,0.000155968047072294,32.0239247030263,138.592026182309,True
140,deepseek,41,disengaged,100,0.863440172029603,0.0594337617749345,136.707339120912,True
141,deepseek,42,disengaged,100,0.0445016750653516,0.70025386741726,136.959671353558,True
142,deepseek,43,disengaged,100,0.127955026522756,0.238354484624596,136.811666373143,True
143,deepseek,44,disengaged,100,0.355164603537066,0.143659654551648,136.528397645872,True
144,deepseek,45,disengaged,100,0.9999,0.0460544091065802,136.417025338791,True
145,deepseek,46,disengaged,100,0.625185662096986,0.0681085442779662,137.844532581038,True
146,deepseek,47,disengaged,100,0.532278500973088,0.15852483083897,133.275859775802,True
147,deepseek,48,disengaged,100,0.00298477596400415,0.0209724832037394,138.629373634839,True
148,deepseek,49,disengaged,100,0.0617671141863433,0.837443929301089,133.926030404661,True
149,deepseek,50,disengaged,100,0.0864225932432067,0.378307740571526,136.484766762807,True
150,deepseek,1,risk_averse,100,0.525470593320399,1.51796828003733,80.1564560219199,True
151,deepseek,2,risk_averse,100,0.916628073980593,0.628893352985494,83.1185611453355,True
152,deepseek,3,risk_averse,100,0.086200798056806,8.07703965028857,66.1504638955818,True
153,deepseek,4,risk_averse,100,0.128149029400972,9.14094076450438,36.3514718264745,True
154,deepseek,5,risk_averse,100,0.0745946011936126,2.77595273727479,104.909888584874,True
155,deepseek,6,risk_averse,100,0.000679852809822049,100,79.3734766826785,True
156,deepseek,7,risk_averse,100,0.142804998689161,2.86791696587587,71.2741354104088,True
157,deepseek,8,risk_averse,100,0.121509672303131,4.29412046141633,65.0734259329628,True
158,deepseek,9,risk_averse,100,0.597682809294721,0.204966893024351,130.88239312032,True
159,deepseek,10,risk_averse,100,0.0183925204835567,7.57327830534135,72.7448459737382,True
160,deepseek,11,risk_averse,100,0.185061574527477,5.49424050012901,55.2730388893451,True
161,deepseek,12,risk_averse,100,0.0733031789196171,4.22676552723089,72.2417855215417,True
162,deepseek,13,risk_averse,100,0.426866778252185,0.621932336835779,112.052906342238,True
163,deepseek,14,risk_averse,100,0.000878580705516407,96.3927037166217,87.8393135175121,True
164,deepseek,15,risk_averse,100,0.0375496532013885,5.39164198601765,97.5266042423511,True
165,deepseek,16,risk_averse,100,0.102153460731161,3.512624554748,74.0716965644286,True
166,deepseek,17,risk_averse,100,0.0281552563342715,3.80246741493543,98.904683596305,True
167,deepseek,18,risk_averse,100,0.489311712753852,0.397439897045621,109.80784043713,True
168,deepseek,19,risk_averse,100,0.0466231003218099,9.55440133214277,82.8363299224698,True
169,deepseek,20,risk_averse,100,0.10798219296831,4.38139326099589,67.9621222207971,True
170,deepseek,21,risk_averse,100,0.115189708822641,2.42832485948318,86.0027571068606,True
171,deepseek,22,risk_averse,100,0.488150158394712,1.14430925777356,76.4077453625974,True
172,deepseek,23,risk_averse,100,0.115277565359608,6.09492378916693,79.5087499285964,True
173,deepseek,24,risk_averse,100,0.9999,0.362945173118379,98.4939981953984,True
174,deepseek,25,risk_averse,100,0.0632854676269152,3.94777920946626,71.3501612719255,True
175,deepseek,26,risk_averse,100,0.109284500319715,4.33353942610099,81.9616038382973,True
176,deepseek,27,risk_averse,100,0.0250661971949676,8.14754578575939,90.6926290673132,True
177,deepseek,28,risk_averse,100,0.279203445235143,4.40164287925974,43.0355410889961,True
178,deepseek,29,risk_averse,100,0.710525079662355,0.624268029786521,100.169422677274,True
179,deepseek,30,risk_averse,100,0.13676021158832,6.74926605323718,47.9181004882718,True
180,deepseek,31,risk_averse,100,0.17725335802912,6.09929432515188,41.2221012767166,True
181,deepseek,32,risk_averse,100,0.432100159047995,0.300851207468207,127.633257865787,True
182,deepseek,33,risk_averse,100,0.031682127496823,3.38430552214539,99.6692521928288,True
183,deepseek,34,risk_averse,100,0.0743510620618082,5.76813385036678,60.5528188975984,True
184,deepseek,35,risk_averse,100,0.134436367873568,2.04569622736712,87.4006533971078,True
185,deepseek,36,risk_averse,100,0.188818935330212,2.85819852391434,63.2002906677158,True
186,deepseek,37,risk_averse,100,0.127641478350413,4.80401235792318,90.8816265328806,True
187,deepseek,38,risk_averse,100,0.226659440922433,3.93865611096227,68.7382428990574,True
188,deepseek,39,risk_averse,100,0.224123336330551,4.21478227695511,51.7230887793466,True
189,deepseek,40,risk_averse,100,0.0873350311420514,2.1289211995332,98.3082837132156,True
190,deepseek,41,risk_averse,100,0.00114267762464543,100,99.1248260957586,True
191,deepseek,42,risk_averse,100,0.246396648161013,3.21360659543809,70.6254202712228,True
192,deepseek,43,risk_averse,100,0.0339877746088855,4.3710887874965,75.1008787781149,True
193,deepseek,44,risk_averse,100,0.0902001599379077,5.79603747641189,44.0492935324246,True
194,deepseek,45,risk_averse,100,0.025723245246042,8.42142394885567,56.5399408685836,True
195,deepseek,46,risk_averse,100,0.373369906810541,0.795984703776941,106.653729003499,True
196,deepseek,47,risk_averse,100,0.0615879915870553,8.88385538770706,42.8563325046047,True
197,deepseek,48,risk_averse,100,0.0888710657462125,8.50286643632832,55.710221120737,True
198,deepseek,49,risk_averse,100,0.0436203939236201,8.81757578729252,69.4816233465103,True
199,deepseek,50,risk_averse,100,0.0621527549875238,6.24991580382163,60.9818915377702,True
200,deepseek,1,risk_seeking,100,0.0001,0.0001,138.629470033569,True
201,deepseek,2,risk_seeking,100,0.00395788815950823,100,27.5026690260547,True
202,deepseek,3,risk_seeking,100,0.0001,0.0001,138.629469764083,True
203,deepseek,4,risk_seeking,100,0.0001,0.0001,138.629443210522,True
204,deepseek,5,risk_seeking,100,0.0001,0.0001,138.62944108695,True
205,deepseek,6,risk_seeking,100,0.0001,0.0001,138.629456087793,True
206,deepseek,7,risk_seeking,100,0.0001,0.0001,138.629455087404,True
207,deepseek,8,risk_seeking,100,0.0001,0.0001,138.62946097695,True
208,deepseek,9,risk_seeking,100,0.0001,0.0001,138.629452137591,True
209,deepseek,10,risk_seeking,100,0.0001,0.0001,138.629449239838,True
210,deepseek,11,risk_seeking,100,0.0001,0.0001,138.629449785613,True
211,deepseek,12,risk_seeking,100,0.0001,0.0001,138.629451085725,True
212,deepseek,13,risk_seeking,100,0.0001,0.0001,138.629461841101,True
213,deepseek,14,risk_seeking,100,0.0001,0.0001,138.629449041282,True
214,deepseek,15,risk_seeking,100,0.0001,0.0001,138.629463603459,True
215,deepseek,16,risk_seeking,100,0.0001,0.0001,138.629457355938,True
216,deepseek,17,risk_seeking,100,0.0001,0.0001,138.629436464619,True
217,deepseek,18,risk_seeking,100,0.0001,0.0001,138.629445365506,True
218,deepseek,19,risk_seeking,100,0.0001,0.0001,138.629453037715,True
219,deepseek,20,risk_seeking,100,0.0001,0.0001,138.629467012884,True
220,deepseek,21,risk_seeking,100,0.0001,0.0001,138.629473272199,True
221,deepseek,22,risk_seeking,100,0.0001,0.0001,138.629454593771,True
222,deepseek,23,risk_seeking,100,0.0001,0.0001,138.629437922812,True
223,deepseek,24,risk_seeking,100,0.0001,0.0001,138.629450208906,True
224,deepseek,25,risk_seeking,100,0.0001,0.0001,138.62945034752,True
225,deepseek,26,risk_seeking,100,0.0001,0.0001,138.629455642122,True
226,deepseek,27,risk_seeking,100,0.0001,0.0001,138.62947053504,True
227,deepseek,28,risk_seeking,100,0.0001,0.0001,138.629447901126,True
228,deepseek,29,risk_seeking,100,0.0001,0.0001,138.629441878312,True
229,deepseek,30,risk_seeking,100,0.0001,0.0001,138.629452006785,True
230,deepseek,31,risk_seeking,100,0.0001,0.0001,138.62945064826,True
