run_id,session_id,variant,n_trials,alpha,beta,nll,converged
212,13,2,100,0.2332428004758242,3.4208744656792036,38.4329759485984,True
213,14,2,100,0.047617549832862004,11.740595108688568,22.070060340354008,True
214,15,2,100,0.6585053094861816,1.4272453227309085,62.795312671401234,True
215,16,2,100,0.08537132672537485,9.39566861443904,25.620375249042674,True
216,17,2,100,0.09426837679267198,14.897519454713503,15.93666229447531,True
217,18,2,100,0.9999,0.9461778362342047,39.58212259700896,True
218,19,2,100,0.07719250484034278,14.724945911013526,20.023570860749377,True
219,20,2,100,0.06500688845232146,10.648623461346244,47.62370485041598,True
220,21,2,100,0.9999,1.1622047539637457,52.95433411545217,True
221,22,2,100,0.007348676126173773,100.0,7.692634431759488,True
222,23,2,100,0.10038090073348936,6.694999356365766,19.778079849614844,True
223,24,2,100,0.08462237917074861,8.178152138512688,25.88262819309206,True
224,25,2,100,0.005818625031888846,100.0,9.976712652521698,True
225,26,2,100,0.049864688912751864,17.21364069697445,7.988234224258726,True
226,27,2,100,0.33273658868352274,2.267378010267468,28.927010654662485,True
227,28,2,100,0.9999,0.751819728652379,75.17225933552537,True
228,29,2,100,0.3055653826430356,1.8779286414126253,29.634807620449326,True
229,30,2,100,0.062047893110362295,14.404156672251387,16.245441684076887,True
230,31,2,100,0.2885450984491947,4.342301124822275,24.82185154643763,True
231,32,2,100,0.20413488783009454,4.9113695712757055,33.06065220684788,True
232,33,2,100,0.0067779047314953,100.0,14.572530509334868,True
233,34,2,100,0.03566100495930712,28.76974740430387,23.227852642011626,True
234,35,2,100,0.08271654071421193,13.89780061190789,17.794460096880083,True
235,36,2,100,0.6040459661750104,1.512746014145233,61.56607708587574,True
236,37,2,100,0.9999,1.0257666819109594,46.804642738824214,True
237,38,2,100,0.07335313297473794,13.222202419619393,16.209956464537346,True
238,39,2,100,0.04203219515277273,10.389486222647262,71.1215842916117,True
239,40,2,100,0.6633318835865081,1.229468282654367,46.41306355211647,True
240,41,2,100,0.05621350028307333,12.38872361897513,28.70480300684512,True
241,42,2,100,0.5674250744992145,1.6171270329367284,45.71507871543985,True
242,43,2,100,0.0932571014168733,7.9256681346918345,29.997722697488456,True
243,44,2,100,0.9999,1.1078496222547498,21.957284477691363,True
244,45,2,100,0.7791655995601707,1.3783233362720266,20.72071696357336,True
245,46,2,100,0.9999,1.0749280812952124,55.01067107497286,True
246,47,2,100,0.46201228756839174,2.381587788531829,15.506161616994834,True
247,48,2,100,0.9999,0.93947953786202,61.823853883465084,True
248,49,2,100,0.6255531195556066,1.4631847089870222,63.38276315634041,True
249,50,2,100,0.8871215334323754,0.5972312908586729,80.56881802916774,True
250,51,2,100,0.32272543863007586,3.4051256828471197,18.28382715676429,True
251,52,2,100,0.6305969957175738,1.3450559581892714,37.0880142228982,True
252,53,2,100,0.1365649867383829,6.563990102771686,29.17800853089913,True
253,54,2,100,0.004664469627560579,100.0,23.367445660094333,True
254,55,2,100,0.9999,1.1204188841813176,23.27959469511837,True
255,56,2,100,0.7372365452125706,1.793729809935303,32.034710310286336,True
256,57,2,100,0.9999,0.8365038113557444,62.488292793738005,True
257,58,2,100,0.006820837404699248,100.0,12.62526540998303,True
258,59,2,100,0.04629147944259654,9.88511072184896,19.271519279340882,True
259,60,2,100,0.11801824535829074,11.537003743184759,12.477360481744642,True
260,61,2,100,0.07514363020806687,14.746293642390208,44.13660414097208,True
261,62,2,100,0.011307871803729792,49.98520585835314,16.44510786380929,True
262,63,2,100,0.005898110233903745,100.0,9.990160749227204,True
263,64,2,100,0.043393075093452756,17.804546664625654,50.671249469657226,True
264,65,2,100,0.007138966714344977,100.0,12.834358686027665,True
265,66,2,100,0.053208871312369996,18.86751833940577,14.17216486560926,True
266,67,2,100,0.5633037553389345,0.6200111918592043,102.8937208034706,True
267,68,2,100,0.0056352703868074484,100.0,11.892744371101212,True
268,69,2,100,0.03596446626800003,15.472706794854217,54.96217569432504,True
269,70,2,100,0.06682632355444176,16.42582793541772,11.203312134278637,True
270,71,2,100,0.2254857537639844,4.733370024124202,13.972297758358295,True
271,72,2,100,0.04868718401984598,11.414218203808817,37.72433830856602,True
272,73,2,100,0.06275071767455266,19.20330543695815,12.865809423777755,True
